EduMind Agent 开发执行日志
任务状态来源：task.json；产品范围来源：docs/PRD.md。
格式：[ISO 8601 时间（含时区）] [任务 ID] EVENT | 摘要 | 验证证据 | 下一步
[2026-09-18T21:47:00+08:00] [MVP-0.1-T026] VERIFIED | 新增 PostgreSQL learning_operations：同 owner+Idempotency-Key+请求摘要唯一绑定，记录状态、attempt、错误和已发布单元/场景引用。相同键重试仅回放持久状态，不重新生成或回放临时 token；GET 操作读取在发现重启遗留活动状态时标为安全可重试失败，已发布引用不受影响。 | 隔离 PostgreSQL 迁移 0004 后完整后端 125 passed；Ruff、Mypy 32 个源文件、OpenAPI/任务 JSON/diff 检查通过。 | 临时容器已移除；下一任务按依赖选择 T027/T028。关键文件：backend/app/models/learning.py、backend/alembic/versions/0004_learning_operations.py、backend/app/services/learning_operations.py、backend/app/api/learning_sessions.py。
[2026-09-18T21:48:00+08:00] [MVP-0.1-T027] START | 领取“实现一句话输入与请求状态界面”。 | T007/T024 完成提交已确认，工作区干净；首页现仅有 Vue 骨架。 | 实现无需画像问卷的学习目标输入、加载/错误/重试状态和安全浏览器边界；T028 再接入 POST SSE 客户端。
[2026-09-18T21:59:50+08:00] [MVP-0.1-T027] VERIFIED | 首页可从一句学习目标开始；请求期间禁用重复提交并呈现加载状态。UI 以可注入请求执行器承接成功/失败，失败显示错误并可对同一目标重试；T028 将把该边界接到 POST SSE。没有画像问卷、内部大纲确认、Provider Key 或浏览器端凭据持久化。 | `pnpm --dir web test --run` 3 passed；`pnpm --dir web typecheck`、`pnpm --dir web build` 与 `git diff --check` 全部通过。 | 下一任务 T028：封装 POST SSE fetch 客户端。关键文件：web/src/App.vue、web/tests/App.spec.ts。
[2026-09-18T22:00:00+08:00] [MVP-0.1-T028] START | 领取“封装 POST SSE 的 fetch 客户端”。 | T007/T024/T026 与 T027 完成提交已确认，工作区干净；已核对 OpenAPI 事件协议、Cookie + CSRF + Idempotency-Key 请求边界和后端事件顺序。 | 新增 fetch + ReadableStream SSE 解析器，覆盖跨块、Unicode、多事件、完成、服务错误和连接中断；客户端不保存 Provider Key，T029 再消费事件展示资源。
[2026-09-18T22:06:11+08:00] [MVP-0.1-T028] VERIFIED | 新增 POST `/api/learning-sessions` fetch 客户端：同源 Cookie、内存 CSRF token、每操作幂等键和 JSON 请求体；以 TextDecoder + ReadableStream 解析 SSE 跨块、CRLF、UTF-8 Unicode、多事件与 EOF。生命周期事件按类型+数据去重，token 不去重以免丢失合法重复文本；HTTP、SSE `error`、中断和畸形数据均转换为含 retryable 的安全错误，流内错误先通知消费者。 | `pnpm --dir web test --run` 7 passed；`pnpm --dir web typecheck`、`pnpm --dir web build`、`git diff --check` 通过；lint 无 error，App.vue 既有格式 38 warnings。 | 下一任务 T029 将消费事件展示临时首段和正式资源状态。关键文件：web/src/api/learningSessions.ts、web/tests/learningSessions.spec.ts。
[2026-09-18T22:07:00+08:00] [MVP-0.1-T029] START | 领取“展示首段讲解与正式资源状态”。 | T025/T027/T028 完成提交已确认，工作区干净；已核对首段 `token(temporary=true)`、`stage_changed`、`scene_ready` 与 `review_reject` 契约，正式资源仅允许通过 learning-unit 读取。 | 实现学习进度状态组件，明确临时与审核发布边界，并让已发布资源可重载、空态及审核失败可理解；T030 再接代码和练习交互。
[2026-09-18T22:10:10+08:00] [MVP-0.1-T029] VERIFIED | 新增 LearningProgressPanel：首段内容永久标为“临时流式内容 / 尚未审核”；分别展示空态、审核中、审核拒绝及已审核正式资源。已发布资源支持调用受控重载回调，失败给出可理解提示并允许再次尝试，资源仅显示发布类型与版本，不把临时文本冒充正式资源。 | `pnpm --dir web test --run` 10 passed；`pnpm --dir web typecheck`、`pnpm --dir web build`、`git diff --check` 通过。 | 下一任务 T030 扩展正式资源为代码与练习交互。关键文件：web/src/components/LearningProgressPanel.vue、web/tests/LearningProgressPanel.spec.ts。
[2026-09-18T22:11:00+08:00] [MVP-0.1-T030] START | 领取“展示代码与练习并支持本地作答”。 | T029 完成提交已确认，工作区干净；复用正式资源状态组件，不引入 MVP 0.2 掌握度或路径数据。 | 为已审核资源实现讲解/代码/约三题练习的本地切换、作答和即时反馈；保持模型内容的默认文本渲染，T031 再做专门 XSS 回归验证。
[2026-09-18T22:25:39+08:00] [MVP-0.1-T030] VERIFIED | 新增 PublishedLearningWorkspace：可在已审核讲解、仅文本展示的代码和 2–4 道练习之间切换；答案仅在组件内存中比对并显示即时解释，不调用任何掌握度、画像或路径接口。 | `pnpm --dir web test --run` 12 passed；`pnpm --dir web typecheck`、`pnpm --dir web build`、`git diff --check` 通过。 | 下一任务 T031 对模型文本和代码渲染补充 XSS 回归验证。关键文件：web/src/components/PublishedLearningWorkspace.vue、web/tests/PublishedLearningWorkspace.spec.ts。
[2026-09-18T22:26:00+08:00] [MVP-0.1-T031] START | 领取“清洗模型内容并验证前端安全”。 | T029/T030 完成提交已确认，工作区干净；当前组件使用 Vue 默认文本插值，尚需把危险 HTML、链接和代码段的不可执行性显式固化为回归测试。 | 保持安全文本渲染，新增 XSS 回归覆盖并确保正常代码/练习文本仍可显示。
[2026-09-18T22:28:48+08:00] [MVP-0.1-T031] VERIFIED | 模型讲解、代码、题干和解释均通过 Vue 文本插值渲染；危险 HTML、事件属性、javascript 链接与脚本文本不会生成可执行 DOM 节点，正常代码和练习文本仍完整显示。 | `pnpm --dir web test --run` 13 passed；typecheck/build 通过；lint 无 error（100 条格式 warning）；`git diff --check` 通过。 | 下一任务 T032 建立 Compose 开发启动。关键文件：web/src/components/PublishedLearningWorkspace.vue、web/tests/PublishedLearningWorkspace.spec.ts。
[2026-09-18T22:30:00+08:00] [MVP-0.1-T032] START | 领取“建立 Compose 开发启动”。 | T008/T015/T031 完成提交已确认，工作区干净；仓库尚无 Compose/Dockerfile，仅有锁定 uv/pnpm 依赖与环境模板。 | 新建固定镜像的 PostgreSQL/API/Web 编排、健康检查与不含真实凭据的启动文档；在 OrbStack 实际 config、build、启动并检查服务。
[2026-09-18T22:35:00+08:00] [MVP-0.1-T032] BLOCKED | `docker compose config --quiet` 通过，已补充最小 Docker 忽略规则以将构建上下文从约 170MB 降至约 1MB；但三次 `docker compose build` 均卡在 Docker Hub/GHCR 的固定 Python、Node、uv 镜像层下载。本机仅有 PostgreSQL 等无关镜像，未有 Python 3.11 或 Node 22 可复用镜像。 | 未能获得 build 成功结果，故未启动服务、未宣称健康检查通过，也未创建完成提交。 | 等网络/镜像仓库可用后，将状态恢复为 in_progress 并重跑 `docker compose build`、`up -d`、`ps` 和两条 HTTP 健康检查。
[2026-09-21T00:00:00+08:00] [MVP-0.1-T032] RESUME | 用户已成功预拉取固定 Python 3.11、Node 22 与 uv 镜像；API 与 Web Compose 镜像均已构建完成。 | 恢复启动三项服务并检查数据库、API、Web 健康状态。
[2026-09-21T00:12:08+08:00] [MVP-0.1-T032] VERIFIED | 新增固定镜像的 Compose 编排、API/Web Dockerfile、最小 Docker 忽略规则、环境模板和启动文档；Provider 凭据只由 API 环境透传，不进入 Web 镜像。由于本机已有 PostgreSQL 16 Alpine，以其不可变 sha256 摘要固定镜像；API 启动自动迁移。 | `docker compose config --quiet`、`docker compose build` 通过；`docker compose up -d` 后 postgres/api/web 全部 healthy，API /health 返回 ok、Web 返回 Vite HTML。 | 服务保持运行，数据卷未删除；下一任务 T033 验证容器重启与正式资源恢复。关键文件：docker-compose.yml、backend/Dockerfile、web/Dockerfile、README.md。
[2026-09-21T00:13:00+08:00] [MVP-0.1-T033] START | 领取“验证容器重启与数据恢复”。 | T032/T026 完成提交已确认，postgres/api/web 处于 healthy；将使用 API 容器连接 Compose 网络的 PostgreSQL 进行跨重启 owner-scoped 正式资源读取验证。 | 新增可重复恢复验证脚本和备份/数据卷说明；不执行 `down -v` 或清理任何用户数据卷。
[2026-09-21T00:28:39+08:00] [MVP-0.1-T033] VERIFIED | 新增容器内可重复恢复脚本：写入新匿名 owner 的 `passed` 正式资源，重启 PostgreSQL 与 API 后通过 owner-scoped 学习单元和资源接口再次读取；会话 token 只短暂保存在 API 容器 `/tmp`，不输出或提交。README 补充命名卷、逻辑备份/恢复命令和限制，另修正 PostgreSQL 并未暴露宿主机 5432 的说明。 | `docker compose build api`、`up -d api`、seed、重启 postgres/api、check 均通过；最终 postgres/api/web 均 healthy，API `/health` 返回 ok，Web 响应成功；恢复脚本 Ruff、语法与 `git diff --check` 通过。 | 未运行 `down -v` 或清理数据卷；测试资源刻意保留以证明持久化。下一任务 T034：MVP 0.1 自动化 E2E。关键文件：backend/tests/compose_recovery_check.py、docs/compose-recovery.md、README.md。
[2026-09-21T08:44:05+08:00] [MVP-0.1-T034] START | 领取“完成 MVP 0.1 自动化 E2E”。 | T031/T033 完成提交已确认，工作区干净；检查发现 T028-T030 的 SSE 客户端和资源组件尚未接入首页，Vite 也缺少 `/api` 代理，现状无法通过真实浏览器主链路。 | 将必要的 `web/src`、Playwright 配置/锁文件和 Vite 代理纳入任务范围：先完成首页集成，再以 mock API 浏览器 E2E 覆盖成功、Provider 故障、审核拒绝与 SSE 恢复；真实 Provider 留给 T035，二者证据明确区分。
[2026-09-21T09:12:17+08:00] [MVP-0.1-T034] VERIFIED | 首页已接通匿名 HttpOnly Cookie 会话恢复/创建、内存 CSRF、POST SSE、临时首段、审核状态、正式资源读取、代码/三题练习和持久化 operation 恢复；Vite `/api` 代理在本机与 Compose 均可用。新增原生 Python Playwright 单命令 E2E，浏览器 route mock 明确不替代真实 Provider；同时修复 NInput 标签未关联真实 textarea 的可访问性问题。 | `pnpm --dir web e2e` 四场景通过；前端 13 tests、typecheck、lint 0 error、build 通过；临时无卷 PostgreSQL 完成 Alembic 全迁移和后端 125 passed，随后自动删除；Compose 三服务 healthy，Web 代理返回后端结构化未认证响应；uv lock、Ruff、语法和 diff 检查通过。 | 当前 Compose 服务保持运行且现有数据卷未改动。真实 Provider 完整学习与首段 P95 性能未由 mock 宣称通过，下一任务 T035 按真实凭据验收。关键文件：web/src/App.vue、web/tests/e2e/、web/vite.config.ts、docker-compose.yml、README.md。
[2026-09-21T09:14:17+08:00] [MVP-0.1-T035] START | 领取“完成真实 Provider 与性能退出验收”。 | T034 完成提交已确认；工作区仅有用户未跟踪教材 PDF，与本任务 docs/README 不重叠。 | 先只检查 API 容器 Provider 配置是否齐全且不输出密钥；如具备真实凭据，则执行完整知识点学习和多样本首段计时，记录模型、环境、样本量、失败率与脱敏证据；否则按验收标准记录阻塞并停止。
[2026-09-21T09:15:17+08:00] [MVP-0.1-T035] BLOCKED | API 容器安全存在性检查结果：`EDUMIND_PROVIDER_BASE_URL`、`EDUMIND_PROVIDER_API_KEY`、`EDUMIND_PROVIDER_MODEL` 均为空；命令只输出布尔值和空模型标识，未显示任何密钥或 Base URL。 | 无法执行真实 Provider 的完整知识点学习，也无法取得真实首段 P95≤10s 的样本、失败率和脱敏证据；mock E2E 不作为替代。 | 用户需在根目录未提交的 `.env` 配置三项 `EDUMIND_PROVIDER_*`，然后执行 `docker compose up -d --force-recreate api web`；配置就绪后恢复 T035。MVP 0.1 尚未完成，不进入 MVP 0.2。
[2026-09-21T09:32:33+08:00] [MVP-0.1-T035] RESUME | 用户已在被 Git 忽略且权限为 600 的根目录 `.env` 填写 Provider 配置；强制重建 API/Web 后，postgres/api/web 均 healthy，安全存在性检查确认 Base URL、API Key、模型三项非空，模型标识为 `deepseek-flash`，未输出 Base URL 或密钥。 | 继续执行最小真实流式连通测试、完整知识点学习与首段 P95 性能验收。
[2026-09-21T09:35:01+08:00] [MVP-0.1-T035] BLOCKED | 真实 `deepseek-flash` 最小流式请求已连通：最多 8 个输出 token，首个非空块 1637ms；未输出模型内容、Base URL 或 API Key。第一次命令仅发生本地 Python 语法错误、未发出网络请求，修正后一次成功。 | 连通性已证明，但单样本不能证明完整知识点学习或 P95≤10s。完整链路及建议 20 样本性能基准会产生更多真实 Provider 调用和潜在费用，需要用户明确批准样本量。 | 用户确认后执行一次完整知识点学习，再对首段内容计时并记录模型、环境、样本量、失败率和脱敏证据；MVP 0.1 尚未完成。
